Countries,Year,Happiness
Australia,2003,7.34068822860718
Australia,2005,7.28539085388184
Australia,2006,7.25375747680664
Australia,2008,7.4500470161438
Australia,2009,7.40561628341675
Australia,2010,7.19558572769165
Australia,2011,7.36416912078857
Australia,2012,7.28855037689209
Australia,2013,7.30906057357788
Australia,2014,7.25008010864258
Australia,2015,7.25703763961792
Australia,2016,7.17699337005615
Australia,2017,7.23399496078491
Australia,2018,7.13736772537231
Australia,2019,7.18349981307983
Australia,2020,7.16209983825684
Austria,2004,7.12221145629883
Austria,2006,7.18095397949219
Austria,2008,7.30267858505249
Austria,2009,7.47051286697388
Austria,2010,7.40068864822388
Austria,2011,7.49880266189575
Austria,2012,6.94999980926514
Austria,2013,7.07644701004028
Austria,2014,7.04807186126709
Austria,2015,7.29372787475586
Austria,2016,7.3960018157959
Austria,2017,7.19536113739014
Austria,2018,7.21348905563354
Austria,2019,7.26779985427856
Austria,2020,7.16300010681152
Belgium,2003,7.26229047775269
Belgium,2005,7.21883964538574
Belgium,2006,7.11659097671509
Belgium,2008,6.85351419448853
Belgium,2009,7.11136388778687
Belgium,2010,6.93512201309204
Belgium,2011,7.10366106033325
Belgium,2012,6.85532903671265
Belgium,2013,6.90421915054321
Belgium,2014,6.94893646240234
Belgium,2015,6.92834758758545
Belgium,2016,6.89217185974121
Belgium,2017,6.7721381187439
Belgium,2018,6.83876085281372
Belgium,2019,6.83400011062622
Belgium,2020,6.80499982833862
Canada,2003,7.41804838180542
Canada,2005,7.48175287246704
Canada,2006,7.48560380935669
Canada,2007,7.48782444000244
Canada,2008,7.65034627914429
Canada,2009,7.42605352401733
Canada,2010,7.41514444351196
Canada,2011,7.59379386901855
Canada,2012,7.30425786972046
Canada,2013,7.41277265548706
Canada,2014,7.24484586715698
Canada,2015,7.41486835479736
Canada,2016,7.17549657821655
Canada,2017,7.10907649993896
Canada,2018,7.02490472793579
Canada,2019,7.10330009460449
Canada,2020,7.02510023117065
China,2004,4.56049537658691
