Countries,Happiness,GDP_Per_Capita
Australia,7.34068822860718,40262.9140625
Australia,7.28539085388184,42222.2734375
Australia,7.25375747680664,42738.46484375
Australia,7.4500470161438,44743.66015625
Australia,7.40561628341675,44649.16015625
Australia,7.19558572769165,44914.98046875
Australia,7.36416912078857,45389.171875
Australia,7.28855037689209,46350.921875
Australia,7.30906057357788,46744.6328125
Australia,7.25008010864258,47232.875
Australia,7.25703763961792,47569.29296875
Australia,7.17699337005615,48116.03125
Australia,7.23399496078491,48398.55078125
Australia,7.13736772537231,49029.10546875
Australia,7.18349981307983,49309.11328125
Australia,7.16209983825684,48678.68359375
Austria,7.12221145629883,48633.2734375
Austria,7.18095397949219,50840.6953125
Austria,7.30267858505249,53166.0546875
Austria,7.47051286697388,51030.7265625
Austria,7.40068864822388,51843.4296875
Austria,7.49880266189575,53179.1484375
Austria,6.94999980926514,53297.4453125
Austria,7.07644701004028,52997.75390625
Austria,7.04807186126709,52932.8984375
Austria,7.29372787475586,52873.859375
Austria,7.3960018157959,53345.7421875
Austria,7.19536113739014,54172.98828125
Austria,7.21348905563354,55258.37109375
Austria,7.26779985427856,55833.55859375
Austria,7.16300010681152,51857.69140625
Belgium,7.26229047775269,44160.91015625
Belgium,7.21883964538574,46342.1875
Belgium,7.11659097671509,47212.578125
Belgium,6.85351419448853,48423.515625
Belgium,7.11136388778687,47064.7890625
Belgium,6.93512201309204,47972.55859375
Belgium,7.10366106033325,48154.87109375
Belgium,6.85532903671265,48210.92578125
Belgium,6.90421915054321,48204.5859375
Belgium,6.94893646240234,48748.62109375
Belgium,6.92834758758545,49456.3984375
Belgium,6.89217185974121,49829.92578125
Belgium,6.7721381187439,50442.26953125
Belgium,6.83876085281372,51126.66796875
Belgium,6.83400011062622,51944.16796875
Belgium,6.80499982833862,48769.7265625
Canada,7.41804838180542,39268.2109375
Canada,7.48175287246704,42046.87109375
Canada,7.48560380935669,43358.18359375
Canada,7.48782444000244,45888.4765625
Canada,7.65034627914429,45851.62890625
Canada,7.42605352401733,44003.6171875
Canada,7.41514444351196,44861.5234375
Canada,7.59379386901855,45822.59765625
Canada,7.30425786972046,46126.515625
Canada,7.41277265548706,46704.76171875
Canada,7.24484586715698,47564.609375
Canada,7.41486835479736,47522.140625
Canada,7.17549657821655,47457.5859375
Canada,7.10907649993896,48317.17578125
Canada,7.02490472793579,48962.48046875
Canada,7.10330009460449,49171.51171875
Canada,7.02510023117065,46064.25390625
China,4.56049537658691,4817.2119140625
China,4.86286211013794,5334.646484375
China,4.84629487991333,5979.78173828125
China,4.45436096191406,6795.173828125
China,4.65273666381836,7412.87451171875
China,5.03720760345459,8069.3544921875
China,5.09491729736328,8884.587890625
China,5.24109029769897,9680.09765625
China,5.19561910629272,10370.7265625
China,5.30387783050537,11101.9384765625
China,5.32495594024658,11851.404296875
China,5.09906148910522,12612.3515625
China,5.13143396377563,13399.1376953125
China,5.14412021636963,14243.5322265625
China,5.77106475830078,15133.99609375
China,5.3390998840332,15977.6455078125
China,5.58529996871948,16315.8154296875
Denmark,8.01893424987793,49262.64453125
Denmark,7.83423328399658,51483.2734375
Denmark,7.97089195251465,53322.2890625
Denmark,7.68335866928101,53569.02734375
Denmark,7.77051544189453,52982.53125
Denmark,7.78823184967041,50114.05078125
Denmark,7.51990938186646,50825.4140625
Denmark,7.58860683441162,51293.20703125
Denmark,7.50755929946899,51216.30859375
Denmark,7.5144248008728,51479.265625
Denmark,7.5577826499939,52048.3359375
Denmark,7.59370231628418,52892.64453125
Denmark,7.64878559112549,54185.0078125
Denmark,7.69300317764282,55356.6796875
Denmark,7.5146312713623,56178.7734375
Denmark,7.61950016021729,57161.6875
Denmark,7.63619995117188,55819.91015625
Estonia,5.37105464935303,23691.15234375
Estonia,5.33204412460327,26096.98828125
Estonia,5.45193767547607,28814.919921875
Estonia,5.1377387046814,31140.580078125
Estonia,5.48681974411011,25337.17578125
Estonia,5.36392784118652,26015.74609375
Estonia,5.36744594573975,27990.13671875
Estonia,5.55598258972168,28997.322265625
Estonia,5.62890863418579,29525.119140625
Estonia,5.6496753692627,30494.095703125
Estonia,5.93839597702026,31038.8046875
Estonia,6.09130239486694,32008.93359375
Estonia,6.03464126586914,33821.93359375
Estonia,6.45256376266479,35097.703125
Estonia,6.18879985809326,36401.109375
Estonia,6.3407998085022,35257.16015625
Finland,7.67244911193848,43724.96484375
Finland,7.67062664031982,46412.19921875
Finland,7.39326429367065,48817.98828125
Finland,7.35422515869141,44662.1015625
Finland,7.4202094078064,45874.66015625
Finland,7.44463586807251,46825.82421875
Finland,7.38457107543945,45952.24609375
Finland,7.44792556762695,45328.57421875
Finland,7.65984344482422,44976.77734375
Finland,7.78825187683105,45072.58984375
Finland,7.85810708999634,46206.7890625
Finland,7.78034782409668,47570.1328125
Finland,7.88934993743896,48049.58203125
Finland,7.84210014343262,48582.5859375
Finland,7.82100009918213,47154.42578125
France,7.09339284896851,40433.48828125
France,6.58270025253296,41272.6328125
France,7.00806474685669,42367.5703125
France,6.28349828720093,43127.2109375
France,6.79790115356445,42996.2109375
