Countries,Happiness,GDP_Per_Capita,Paid Work,Education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,Attending events,Seeing friends,TV and Radio,Other leisure activities
Australia,7.16209983825684,48678.68359375,211,27,45,132,29,58,512,89,56,19,6,40,140,76
Austria,7.16300010681152,51857.69140625,280,27,34,125,21,32,498,79,55,32,9,82,109,59
Belgium,6.80499982833862,48769.7265625,194,41,22,121,29,30,513,99,53,21,15,50,131,122
Canada,7.02510023117065,46064.25390625,269,36,29,115,24,52,520,65,52,21,6,53,109,89
China,5.58529996871948,16315.8154296875,200,25,28,128,26,45,489,119,52,22,7,81,123,95
Denmark,7.63619995117188,55819.91015625,231,25,28,121,24,40,530,79,54,27,8,38,122,114
Estonia,6.3407998085022,35257.16015625,200,29,23,109,26,81,508,81,52,37,8,55,118,113
Finland,7.82100009918213,47154.42578125,170,34,22,129,22,17,513,133,107,12,15,55,114,98
France,6.68669986724854,42320.5234375,224,24,19,109,32,53,498,95,55,26,14,61,118,112
Germany,7.03410005569458,51423.234375,187,40,19,125,16,26,500,128,57,28,5,56,137,115
Greece,5.94820022583008,27072.619140625,199,38,33,150,19,36,506,101,76,13,6,35,134,94
Hungary,6.0858998298645,31098.396484375,231,37,61,91,28,72,491,75,42,20,42,49,85,116
India,3.77710008621216,6165.74658203125,149,28,27,135,28,43,513,127,68,38,6,65,104,110
Ireland,7.04080009460449,90789.21875,302,37,0,80,25,98,442,93,85,10,0,17,103,148
Italy,6.46670007705688,39073.4140625,288,57,28,76,13,42,471,117,90,27,4,42,102,82
Japan,6.03889989852905,40232.2109375,317,13,15,130,16,39,512,89,40,25,5,35,123,81
Latvia,6.18039989471436,30100.26953125,304,12,19,154,17,42,503,88,54,16,1,32,137,61
Lithuania,6.4456000328064,37107.05859375,247,37,20,108,23,42,518,112,55,33,12,32,116,82
Luxembourg,7.40399980545044,112557.3125,304,45,38,187,14,46,499,77,58,14,7,44,66,41
Mexico,6.12760019302368,17852.359375,218,25,22,105,28,46,503,114,65,22,7,73,113,101
Netherlands,7.4148998260498,54324.3828125,239,29,30,110,24,59,526,80,42,17,6,69,124,85
New Zealand,7.19980001449585,42774.69140625,201,40,23,83,20,77,492,79,56,21,8,57,129,154
Norway,7.36509990692139,63548.0,229,30,38,135,25,39,509,91,57,23,3,45,122,93
Poland,6.12279987335205,32398.705078125,259,36,17,161,15,35,506,112,58,12,11,44,114,60
Portugal,6.01630020141602,31961.775390625,227,38,21,166,18,32,501,86,41,32,5,62,120,92
Slovenia,6.63009977340698,37050.546875,176,26,35,116,25,54,516,126,51,42,9,51,129,85
South Africa,5.1939001083374,12665.83203125,268,31,33,107,23,33,483,83,57,34,9,53,113,112
Spain,6.47629976272583,36210.875,217,29,29,124,14,60,515,118,50,9,3,68,124,82
Sweden,7.38430023193359,50923.109375,234,27,32,104,29,62,508,79,58,19,7,47,133,98
Turkey,4.74420022964478,28393.466796875,251,31,31,100,22,65,528,63,57,18,8,44,148,73
